0th energy cost ,0th qoe ,0th HEFT run time cost,0th run time cost ,0th HEFT energy cost,0th HEFT qoe
5900.084618950603,-0.16315022967806964,905.3067227169673,1487.138054789543,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6578.274808729911,-0.04771325556842352,905.3067227169673,1166.6121530348462,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
6742.046593811036,0.0,905.3067227169673,1053.4447802829743,6460.546929762217,0.08760918985517252
